Brand,Mobile Name,Front Camera (in MP),Primary Camera (in MP),Memory,RAM,Processor Performance,Battery Power(in mAh),Screen Height,Screen Width,Ratings,Price,Mobile Category,Price Range
Apple,iPhone 14 Pro Max,16,64,1024,24,5.0,1046,2640,1200,4.0,229405.3,Flagship,220000-230000
Apple,iPhone 14 Pro Max,16,64,512,24,5.0,1808,2640,1200,4.9,223962.24,Flagship,220000-230000
Apple,iPhone 14 Pro,16,50,512,24,5.0,1086,3120,1440,3.4,222232.56,Flagship,220000-230000
Apple,iPhone 14 Pro Max,20,108,512,24,5.0,1522,2800,1260,4.8,220904.52,Flagship,220000-230000
Apple,iPhone 14 Pro Max,16,64,1024,16,5.0,1972,2800,1260,4.2,219022.2,Flagship,210000-220000
Apple,iPhone 14 Pro Max,20,200,1024,24,5.0,727,3120,1440,3.86,217842.13,Flagship,210000-220000
Apple,iPhone 12 Pro,16,108,1024,16,5.0,1722,2800,1260,4.4,216084.16,Flagship,210000-220000
Apple,iPhone 12 Mini,20,64,512,16,5.0,1793,2640,1200,4.5,215357.77,Flagship,210000-220000
Apple,iPhone 14,16,50,512,24,5.0,1313,2800,1260,4.2,213224.93,Flagship,210000-220000
Apple,iPhone 14 Pro Max,16,108,512,16,5.0,1945,3200,1440,4.7,207892.92,Flagship,200000-210000
Apple,iPhone 14 Pro,16,200,1024,16,5.0,1589,3200,1440,3.86,203838.94,Flagship,200000-210000
Apple,iPhone 14 Pro Max,20,64,512,16,5.0,1988,3200,1440,3.4,199510.44,Flagship,190000-200000
Apple,iPhone 14 Pro Max,16,64,512,16,5.0,1876,3120,1440,4.8,198116.97,Flagship,190000-200000
Apple,iPhone 12 Pro,20,50,1024,16,5.0,1747,2800,1260,4.9,195162.51,Flagship,190000-200000
Apple,iPhone 14 Pro,16,108,512,16,5.0,1688,3200,1440,4.7,187275.57,Flagship,180000-190000
Pixel,Pixel 7 Pro,20,200,1024,16,5.0,1670,2800,1260,4.6,182752.66,Flagship,180000-190000
Apple,iPhone 14 Pro,32,64,1024,16,5.0,1456,3200,1440,4.5,181052.93,Flagship,180000-190000
Pixel,Pixel 4 XL,16,50,1024,16,5.0,717,2640,1200,4.3,180937.29,Flagship,180000-190000
Pixel,Pixel 6,16,50,512,12,5.0,1038,3120,1440,4.1,179730.76,Flagship,170000-180000
Apple,iPhone 13 Pro,16,50,1024,16,5.0,1570,3200,1440,4.6,177928.21,Flagship,170000-180000
Oneplus,OnePlus 11R,20,50,1024,16,5.0,774,3120,1440,4.4,176158.76,Flagship,170000-180000
Apple,iPhone 13 Mini,16,50,512,24,5.0,1855,2640,1200,4.7,175778.42,Flagship,170000-180000
Apple,iPhone 11 Pro,16,108,512,24,5.0,914,3120,1440,4.8,175745.65,Flagship,170000-180000
Oneplus,OnePlus 11,16,200,512,24,5.0,684,3200,1440,4.7,175695.59,Flagship,170000-180000
Oneplus,OnePlus 11,16,108,1024,16,5.0,1372,2640,1200,3.7,175491.48,Flagship,170000-180000
Oneplus,OnePlus 10R,16,12,512,16,5.0,825,3120,1440,4.1,175315.59,Flagship,170000-180000
Oneplus,OnePlus 10R,32,50,512,16,5.0,894,2800,1260,4.1,174965.39,Flagship,170000-180000
Oneplus,OnePlus 11,32,64,1024,16,5.0,992,2640,1200,4.4,172502.7,Flagship,170000-180000
Samsung,Galaxy Z Fold 4,20,108,512,24,5.0,860,2640,1200,3.73,169349.13,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,16,64,512,24,5.0,1108,2640,1200,4.6,168459.45,Flagship,160000-170000
Oneplus,OnePlus 11,20,64,512,16,5.0,752,3120,1440,3.1,167915.66,Flagship,160000-170000
Samsung,Galaxy Note 20,16,50,512,16,5.0,1197,2640,1200,4.4,167795.56,Flagship,160000-170000
