Brand,Mobile Name,Front Camera (in MP),Primary Camera (in MP),Memory,RAM,Processor Performance,Battery Power(in mAh),Screen Height,Screen Width,Ratings,Price,Mobile Category,Price Range
Apple,iPhone 14 Pro Max,32,200,1024,24,5.0,1074.0,2520,1080,4.0,119405.3,Flagship,130000-140000
Apple,iPhone 14 Pro Max,32,200,512,24,5.0,1074.0,2520,1080,4.9,113962.24,Flagship,110000-120000
Apple,iPhone 14 Pro,32,200,512,24,5.0,1086.0,2460,1080,3.4,222232.56,Flagship,220000-230000
Apple,iPhone 14 Pro Max,32,200,1024,16,5.0,1074.0,2520,1080,4.2,219022.2,Flagship,210000-220000
Apple,iPhone 12 Pro,32,108,1024,16,5.0,1788.5,2660,1170,4.4,216084.16,Flagship,210000-220000
Apple,iPhone 12 Mini,32,200,512,16,5.0,1701.5,2640,1200,4.5,215357.77,Flagship,210000-220000
Apple,iPhone 14,32,200,512,24,5.0,1367.0,2460,1080,4.2,213224.93,Flagship,210000-220000
Apple,iPhone 14 Pro Max,32,200,512,16,5.0,1074.0,2520,1080,4.7,207892.92,Flagship,200000-210000
Apple,iPhone 14 Pro,32,200,1024,16,5.0,1086.0,2460,1080,3.86,203838.94,Flagship,200000-210000
Apple,iPhone 14 Pro,32,200,512,16,5.0,1086.0,2460,1080,4.7,187275.57,Flagship,180000-190000
Pixel,Pixel 7 Pro,32,200,1024,16,5.0,1334.0,2520,1080,4.6,182752.66,Flagship,180000-190000
Pixel,Pixel 4 XL,16,200,1024,16,5.0,1900.5,2490,1080,4.3,180937.29,Flagship,180000-190000
Pixel,Pixel 6,16,50,512,12,5.0,884.0,2820,1260,4.1,179730.76,Flagship,170000-180000
Apple,iPhone 13 Pro,20,108,1024,16,5.0,1371.0,2520,1080,4.6,177928.21,Flagship,170000-180000
Oneplus,OnePlus 11R,32,200,1024,16,5.0,1294.0,2460,1080,4.4,176158.76,Flagship,170000-180000
Apple,iPhone 13 Mini,32,64,512,24,5.0,1842.0,2800,1260,4.7,175778.42,Flagship,170000-180000
Apple,iPhone 11 Pro,20,108,512,24,5.0,1379.0,3120,1440,4.8,175745.65,Flagship,170000-180000
Oneplus,OnePlus 11,32,200,512,24,5.0,1278.0,2460,1080,4.7,175695.59,Flagship,170000-180000
Oneplus,OnePlus 11,32,200,1024,16,5.0,1278.0,2460,1080,3.7,175491.48,Flagship,170000-180000
Oneplus,OnePlus 10R,32,200,512,16,5.0,1004.0,2800,1260,4.1,175315.59,Flagship,170000-180000
Samsung,Galaxy Z Fold 4,32,200,512,24,5.0,1315.0,2520,1080,3.73,169349.13,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,512,24,5.0,1349.0,2460,1080,4.6,168459.45,Flagship,160000-170000
Oneplus,OnePlus 11,32,200,512,16,5.0,1278.0,2460,1080,3.1,167915.66,Flagship,160000-170000
Samsung,Galaxy Note 20,32,200,512,16,5.0,1487.0,2460,1080,4.4,167795.56,Flagship,160000-170000
Samsung,Galaxy Z Fold 4,32,200,512,16,5.0,1315.0,2520,1080,4.5,167501.56,Flagship,160000-170000
Samsung,Galaxy S23,32,200,512,24,5.0,1301.5,2460,1080,4.4,166352.07,Flagship,160000-170000
Samsung,Galaxy S22,32,200,1024,16,5.0,1456.0,2520,1080,3.5,166110.14,Flagship,160000-170000
Samsung,Galaxy S23,32,200,1024,16,5.0,1301.5,2460,1080,4.3,165594.08,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,1024,12,5.0,1349.0,2460,1080,4.5,165374.05,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,512,16,5.0,1349.0,2460,1080,4.6,165308.36,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,512,12,5.0,1349.0,2460,1080,4.4,164751.4,Flagship,160000-170000
Samsung,Galaxy Z Fold 4,32,200,1024,24,5.0,1315.0,2520,1080,3.7,162184.59,Flagship,160000-170000
Samsung,Galaxy Note 20 Ultra,32,200,1024,16,5.0,1386.5,2460,1080,4.3,162136.97,Flagship,160000-170000
Oneplus,OnePlus 10R,32,200,512,24,5.0,1004.0,2800,1260,4.5,162009.75,Flagship,160000-170000
Samsung,Galaxy Note 20,32,200,512,24,5.0,1487.0,2460,1080,3.8,161997.34,Flagship,160000-170000
Samsung,Galaxy S23 Ultra,32,200,1024,24,5.0,1349.0,2460,1080,4.6,161772.63,Flagship,160000-170000
