3G,4G,WiFi,Bluetooth,Dual SIM,Touch Screen,Front Camera (in MP),Primary Camera (in MP),Memory (in GB),RAM(in MB),Processor Performance,Battery Power(in mAh),Talk Time (in hrs),Mobile Weight (in g),Screen Height,Screen Width,Price Range
0,0,1,0,0,0,1,2,7,2549,4.4,842,19,188,9,7,1
1,1,0,1,1,1,0,6,53,2631,1.5,1021,7,136,17,3,2
1,1,0,1,1,1,2,6,41,2603,2.5,563,9,145,11,2,2
1,0,0,1,0,0,0,9,10,2769,15.0,615,11,131,16,8,2
1,1,0,1,0,1,13,14,44,1411,2.4,1821,15,141,8,2,1
1,0,0,0,1,0,3,7,22,1067,0.5,1859,10,164,17,1,1
1,1,1,0,0,0,4,10,10,3220,13.6,1821,18,139,13,8,3
1,0,1,0,1,1,0,0,24,700,2.0,1954,5,187,16,3,0
1,0,0,1,0,0,0,14,53,1099,3.5,1445,20,174,17,1,0
1,1,0,1,1,0,2,15,9,513,3.0,509,12,93,19,10,0
0,0,0,1,1,0,0,1,9,3946,14.5,769,7,182,5,2,3
1,1,1,1,0,1,5,18,33,3826,17.6,1520,13,177,14,9,3
1,0,0,0,0,0,2,17,33,1482,11.2,1815,2,159,18,0,1
1,0,1,1,0,0,7,11,17,2680,8.4,803,4,198,7,1,2
1,1,1,0,0,0,13,17,52,373,0.5,1866,3,185,14,9,0
1,0,1,0,0,1,3,16,46,568,2.0,775,11,159,17,15,0
1,1,1,0,0,0,1,4,13,3554,4.0,838,19,196,10,9,3
1,1,0,0,1,1,7,17,23,3752,2.7,595,18,121,10,2,3
1,0,0,1,1,1,11,18,49,1835,2.5,1131,16,101,19,13,1
0,0,1,1,0,1,4,11,19,2337,2.0,682,18,121,11,1,1
1,0,0,0,1,1,12,14,39,2819,7.700000000000001,772,3,81,17,15,3
1,0,0,1,0,0,1,2,13,3283,4.2,1709,15,156,17,1,3
0,0,1,0,1,0,4,7,47,1433,10.4,1949,20,199,11,5,1
1,1,0,1,1,0,4,20,38,1037,8.399999999999999,1602,20,114,8,7,0
1,1,0,0,1,0,5,13,8,2583,3.5999999999999996,503,12,111,11,0,1
1,1,1,1,1,1,0,3,57,2782,11.2,961,7,114,18,9,2
1,1,1,1,1,0,7,19,51,3763,6.4,519,4,132,16,1,3
1,1,0,0,0,1,1,6,41,3286,3.5,956,12,143,17,8,3
1,1,1,0,1,1,12,18,52,2373,3.2,1453,10,96,10,1,2
1,0,1,0,0,0,3,7,21,478,2.5,851,10,200,12,7,0
0,0,1,1,1,0,0,9,5,3532,3.5,1579,12,88,17,11,3
1,0,1,1,0,1,16,20,33,508,4.0,1568,6,150,5,1,0
1,1,1,1,0,1,3,18,41,2227,0.9,1319,3,107,18,5,1
1,1,0,1,1,1,0,0,51,3845,8.8,1310,12,100,7,0,3
1,0,0,1,0,0,0,3,22,1262,21.6,644,15,157,12,1,0
1,0,0,0,1,0,16,17,60,1326,10.4,725,15,160,10,4,1
1,0,1,1,1,0,1,10,61,2113,9.2,589,2,160,13,7,1
1,1,0,1,1,1,6,18,6,3429,3.2,1725,4,119,6,5,3
1,1,1,0,1,0,16,17,11,3169,12.0,790,2,87,6,1,2
1,0,0,0,1,1,15,20,50,2150,1.0,560,11,159,18,12,2
1,0,1,0,0,0,5,14,44,2484,2.9,1347,11,132,18,2,2
1,1,0,1,0,1,8,10,41,3339,4.6,1646,19,185,18,10,3
1,1,0,1,1,1,5,19,5,1878,1.0,1253,4,152,15,0,1
1,1,0,0,0,1,5,7,34,1629,3.0,1656,14,166,15,12,1
1,1,0,1,0,1,1,14,20,504,5.6,1195,12,110,9,3,0
0,0,1,0,0,1,0,1,27,1152,8.7,1514,20,118,8,3,1
1,0,0,1,1,0,1,14,42,3587,8.8,1723,3,164,10,5,3
1,1,1,1,1,0,3,10,40,2296,12.6,1054,12,196,16,12,1
1,1,1,1,1,0,2,8,57,1270,20.8,578,5,162,15,3,0
0,0,0,0,1,0,9,15,64,3238,16.8,596,10,111,16,13,3
1,1,1,1,1,0,2,19,14,2059,9.0,1547,15,198,5,0,2
0,0,0,0,1,1,5,19,63,2053,11.2,1760,16,127,19,12,2
1,1,0,1,1,1,0,0,43,3112,3.0,1654,10,109,12,5,3
1,1,1,0,1,0,1,10,16,1440,5.699999999999999,1457,12,102,17,8,1
0,0,0,1,1,1,0,0,51,2908,3.5,1073,18,145,6,0,2
1,1,0,0,1,0,10,20,46,2552,6.300000000000001,1936,13,104,14,7,2
1,0,1,1,1,1,13,19,60,905,21.6,823,17,148,14,11,0
1,1,1,0,1,0,0,9,61,3963,3.9000000000000004,987,20,107,9,4,3
0,0,0,0,0,0,8,14,49,2056,3.0,1757,4,180,7,5,1
1,1,1,0,1,1,2,4,48,2910,7.0,1063,9,128,15,13,2
1,0,0,0,0,1,3,5,12,1457,9.0,1484,20,134,14,4,1
1,1,1,1,0,1,1,6,63,431,18.4,799,6,144,15,6,0
1,1,0,1,1,1,0,0,50,470,2.4,1156,15,159,7,0,0
1,1,1,0,0,1,15,18,55,2148,4.0,1720,5,168,14,2,2
1,1,0,0,1,0,2,3,9,2955,7.800000000000001,702,19,141,10,4,2
1,1,0,0,1,1,13,17,44,3366,5.699999999999999,616,13,81,18,8,3
1,1,0,1,0,1,11,14,36,3068,2.0,1358,4,155,9,4,3
0,0,0,0,0,0,0,0,30,3834,4.199999999999999,1866,8,182,16,11,3
1,0,1,0,1,0,0,1,10,1050,2.2,1242,4,165,11,1,0
1,1,0,0,1,1,0,1,43,3993,6.0,1166,7,80,7,1,3
1,1,1,1,1,1,6,11,45,3378,3.5,1448,2,138,13,11,3
1,1,1,1,0,0,1,4,22,2192,9.6,1407,13,104,9,7,2
1,1,0,0,0,0,8,16,9,392,3.0,605,4,142,15,6,0
1,0,1,0,0,1,3,5,43,3709,1.2,1038,12,141,11,0,3
0,0,0,1,1,1,4,6,38,590,11.6,797,6,90,9,2,0
1,1,1,0,1,0,8,20,42,1814,3.5999999999999996,819,13,188,5,4,1
1,1,0,0,0,1,4,15,9,907,8.399999999999999,1114,17,197,10,7,0
0,0,1,1,1,0,1,3,33,1449,1.6,1234,6,172,11,7,0
1,1,1,1,1,0,15,20,16,3448,10.0,1199,10,116,17,13,3
0,0,1,0,1,1,6,8,29,1837,6.0,1103,16,111,8,7,1
1,1,1,1,1,1,0,7,58,3464,4.2,1589,6,85,19,10,3
1,1,0,0,1,1,11,19,64,2593,11.6,999,16,199,14,11,2
0,0,1,1,1,1,2,3,45,3484,4.5,1510,11,180,9,6,3
1,0,0,0,0,0,11,15,61,2009,2.4000000000000004,1008,11,114,10,3,1
1,1,1,1,1,1,5,13,57,2048,2.9,1127,17,163,11,5,1
0,0,1,1,0,0,5,17,25,837,19.2,1412,4,96,15,9,1
0,0,1,1,1,1,4,5,42,854,10.0,1496,7,182,16,0,0
1,1,0,1,1,0,1,11,64,3210,8.7,1083,4,178,13,3,3
1,0,1,0,1,1,0,13,3,2746,2.5,668,8,155,9,5,2
1,0,1,0,1,0,0,14,33,2334,4.4,1309,11,100,10,1,2
1,1,0,0,1,1,2,5,57,2822,6.0,1724,16,177,19,3,3
1,1,0,1,1,1,7,18,54,1971,14.0,1977,14,171,18,7,2
1,1,1,0,1,1,0,0,15,1410,16.099999999999998,885,5,103,16,10,0
1,1,1,1,0,0,11,15,14,349,15.0,879,2,83,16,10,0
0,0,0,0,1,1,6,9,7,1418,5.1,1322,12,140,19,17,1
1,0,1,1,0,1,18,19,7,3616,3.0,1137,12,196,13,5,3
1,1,0,0,0,1,10,16,23,880,11.5,1355,8,132,19,4,0
1,1,0,1,0,0,3,18,60,1601,3.0,1665,14,194,18,17,2
0,0,0,0,0,1,0,1,37,1412,5.0,657,18,141,14,3,0
1,0,0,0,0,0,6,7,31,1692,3.5,593,7,156,6,2,1
1,1,0,1,0,0,3,13,10,2600,3.0,1883,20,146,16,8,3
1,1,1,1,0,0,4,9,12,1308,8.8,1732,11,119,16,7,1
1,0,0,0,0,0,0,4,57,2413,2.5,543,15,192,17,14,1
1,1,0,1,1,1,0,10,55,1047,11.2,1939,18,199,14,10,0
1,1,1,0,1,1,1,3,8,1204,16.8,553,8,121,11,4,0
1,1,1,0,1,0,2,3,39,1799,2.8,832,11,103,5,2,1
0,0,1,0,1,1,5,10,23,2676,9.5,1661,11,172,12,6,3
1,0,0,1,0,0,3,16,42,2597,12.0,1657,14,198,18,1,3
1,0,1,1,1,1,0,4,46,3029,2.0,1135,9,83,19,17,3
1,0,1,1,0,1,3,7,41,2343,1.5,1775,14,163,19,13,3
1,1,0,0,1,1,0,4,43,2016,5.4,783,18,106,16,4,1
0,0,0,1,0,0,0,20,32,2213,16.099999999999998,617,7,199,18,13,1
1,1,0,0,1,1,0,1,4,790,8.399999999999999,867,3,135,13,6,0
1,0,0,1,1,1,13,14,7,3182,5.5,1310,5,194,8,4,2
1,1,1,0,0,0,9,19,22,3472,3.5,1804,20,153,9,1,3
1,1,1,1,0,1,1,9,18,2871,16.099999999999998,1900,13,89,12,1,3
1,0,0,1,0,0,0,0,53,3187,11.2,909,4,82,12,9,2
1,1,0,1,0,1,3,11,40,1945,7.800000000000001,1084,10,107,15,4,1
0,0,0,0,1,1,8,12,46,488,1.3,1308,9,199,5,3,0
1,0,0,0,0,0,0,0,15,1214,1.5,1778,14,102,5,0,1
0,0,0,1,1,1,3,7,10,2598,12.8,1701,6,194,12,9,2
1,1,0,1,1,1,1,2,10,3242,9.6,772,4,80,18,11,3
0,0,0,1,1,1,7,10,52,3534,1.5,825,6,130,10,4,3
1,1,1,0,0,1,5,7,36,3426,2.2,1379,17,200,5,4,3
1,1,0,0,0,0,3,4,25,2488,10.0,1166,15,198,13,5,2
0,0,1,0,0,0,5,20,16,3255,2.8,1659,9,89,19,14,3
1,1,1,1,1,0,0,1,58,2863,9.6,826,18,88,9,3,2
1,1,1,0,0,1,4,17,25,1496,13.799999999999999,1564,7,189,6,4,1
1,0,1,0,1,0,11,16,31,3801,2.7,1957,7,181,12,0,3
1,1,0,0,0,1,0,1,19,666,8.399999999999999,1571,13,100,12,10,0
1,0,1,0,1,0,2,3,54,3799,14.0,1414,7,99,17,7,3
1,0,1,0,1,1,9,14,2,1366,2.5,1790,20,184,7,0,1
1,0,1,0,0,1,1,10,41,2962,3.5,645,4,197,12,9,2
1,0,1,0,1,1,7,12,30,2399,23.2,668,7,195,10,5,1
0,0,0,1,1,0,1,5,36,2338,4.4,1652,20,89,12,8,2
0,0,1,1,0,0,0,0,16,2700,2.5,1213,9,108,12,3,2
1,0,0,1,1,0,0,8,22,2235,15.0,1272,4,133,19,4,1
1,1,1,0,1,1,5,7,46,3825,4.0,866,2,179,12,11,3
1,1,0,0,1,1,12,14,3,284,16.8,536,4,182,12,9,0
0,0,0,0,1,1,1,2,14,1427,20.8,523,9,155,9,1,0
1,1,1,0,1,0,0,18,31,1324,0.5,1753,17,134,17,0,2
1,1,0,0,1,0,1,4,14,398,5.4,1218,5,147,17,0,0
1,1,1,1,0,1,4,5,43,3685,2.5,1537,17,137,18,17,3
1,0,1,0,1,0,0,6,33,2390,15.400000000000002,786,5,141,12,11,2
1,1,0,0,0,1,3,11,64,278,6.300000000000001,1678,10,134,19,0,0
1,1,0,0,1,0,1,2,9,3556,2.8,1814,16,141,18,12,3
0,0,1,0,0,1,0,7,31,2196,3.6,1101,19,148,12,6,1
1,1,0,0,1,0,3,4,40,3799,16.8,1461,4,141,16,1,3
0,0,1,0,0,1,4,7,47,2268,9.0,1216,4,199,13,5,2
1,1,0,0,0,0,6,7,41,2965,1.6,506,15,159,13,10,2
1,1,1,1,0,1,1,17,56,2341,2.5,843,20,147,10,1,1
0,0,1,0,1,1,4,14,56,3557,15.400000000000002,742,12,190,16,11,3
1,1,0,1,0,0,3,12,61,1354,12.600000000000001,1692,19,176,16,7,1
1,1,0,0,0,1,2,9,32,2147,2.0,1485,11,84,19,1,2
0,0,1,0,1,1,6,8,45,505,5.8,1547,3,166,12,2,0
1,1,0,0,1,1,4,6,46,1394,2.3,1692,6,139,16,10,1
1,1,1,0,0,0,3,4,60,374,9.2,637,8,97,18,4,0
1,1,1,0,0,1,16,18,6,506,3.0,1224,11,109,10,0,0
0,0,0,0,0,0,0,0,29,3702,16.799999999999997,1356,19,198,17,0,3
0,0,0,0,1,0,12,16,34,1078,0.5,1840,10,142,8,0,1
1,1,1,1,1,1,4,13,37,2945,3.5,1481,16,96,10,5,2
1,0,1,1,1,1,10,16,51,2981,9.0,961,7,152,15,6,2
1,1,1,0,1,1,0,3,14,490,4.5,1296,4,124,7,1,0
1,0,1,0,0,0,11,20,26,536,0.9,1193,4,166,17,14,0
1,1,1,0,1,0,11,17,3,2317,16.8,1441,7,118,16,4,2
1,1,1,0,1,0,3,8,33,3704,5.6,517,11,183,17,16,3
1,1,0,1,0,0,0,4,27,2126,13.6,748,7,150,18,9,1
1,1,1,1,0,1,2,3,10,2050,14.399999999999999,1126,12,160,7,6,2
1,1,0,0,0,0,0,8,58,2462,4.2,1572,10,157,12,8,3
1,0,0,0,1,0,17,20,44,1260,11.2,1569,17,110,9,2,1
1,1,0,1,1,1,2,6,32,3770,4.2,1270,13,101,5,3,3
1,1,0,0,0,1,2,5,8,1886,15.0,1854,20,101,17,4,1
1,1,1,1,1,1,5,8,10,3323,4.8,625,7,183,9,1,2
1,1,0,0,1,0,0,4,42,2060,2.5,1577,12,197,19,6,2
1,1,0,0,1,0,0,1,16,3926,2.5,534,20,189,16,12,3
1,1,1,0,1,1,8,15,25,2177,10.2,946,13,143,7,5,2
0,0,1,0,0,0,2,10,29,728,3.5,685,4,93,14,8,0
1,0,0,0,1,0,0,1,23,2478,6.5,1949,20,101,14,8,3
1,1,0,0,1,0,0,13,22,2842,1.6,947,2,197,16,12,2
0,0,1,1,1,0,2,4,63,1617,15.400000000000002,801,19,165,17,4,1
1,1,0,1,0,0,12,20,30,1472,2.7,703,7,113,14,7,0
1,0,0,1,0,0,11,12,41,764,14.399999999999999,1165,15,178,19,12,0
0,0,1,0,0,1,0,5,38,2337,6.4,1082,17,198,6,1,2
1,0,0,1,1,0,15,19,20,3965,10.4,959,6,84,16,1,3
1,0,0,1,0,1,0,12,54,3693,6.0,1502,16,138,17,14,3
1,1,0,1,1,1,1,13,4,797,6.300000000000001,1380,15,92,13,2,0
1,1,0,0,0,0,0,9,5,1687,3.0,1266,18,95,11,0,2
1,1,1,1,1,1,0,17,46,2940,2.6,1934,2,103,13,9,3
1,1,0,1,0,1,3,5,6,1545,0.5,1905,10,151,9,5,1
1,0,1,0,1,1,2,5,43,3834,7.0,1831,13,150,17,7,3
1,0,0,0,0,1,8,18,46,2505,1.4,596,15,165,15,4,1
1,1,0,1,1,0,1,15,7,2243,6.5,1562,6,190,12,10,2
1,1,1,1,1,1,4,8,64,3600,4.0,1490,7,150,17,9,3
1,1,1,1,0,1,5,6,57,3971,4.8,1523,10,117,18,12,3
1,0,0,0,0,1,0,15,20,2844,2.4,640,18,163,7,5,2
1,1,0,0,0,1,1,8,23,2227,14.700000000000001,1526,3,117,18,10,2
1,1,1,0,1,1,0,13,41,1665,7.5,1989,12,94,17,9,2
1,1,1,0,0,0,0,7,61,3355,5.699999999999999,1308,4,106,15,2,3
1,0,1,0,0,1,3,4,26,1866,2.0,609,14,93,11,10,1
1,1,0,0,1,0,9,20,36,1287,1.7999999999999998,1905,16,119,13,4,1
1,1,1,1,0,0,0,0,22,1046,0.5,1703,13,192,5,4,0
1,1,1,1,1,1,7,15,20,1441,16.8,1445,13,173,7,4,1
1,1,1,0,0,0,0,9,16,690,3.9000000000000004,1087,6,166,14,6,0
1,0,0,0,1,0,10,17,30,2504,6.3,671,15,105,6,4,2
1,0,0,1,0,0,6,19,61,2677,13.799999999999999,1472,8,168,19,15,2
1,1,1,0,1,0,0,1,47,2243,4.0,765,4,115,11,7,2
1,1,1,0,1,0,16,17,8,2984,3.0,1642,17,171,13,4,2
0,0,1,0,0,0,7,16,49,1362,7.5,1265,12,182,5,0,1
1,1,1,1,1,1,1,4,51,3629,7.700000000000001,664,6,110,19,15,3
1,1,0,1,1,1,0,6,35,3559,3.0,1277,6,142,18,17,3
1,0,1,0,1,0,0,1,23,2571,5.4,1395,13,111,11,0,2
1,0,1,1,0,0,0,0,41,2107,20.8,1539,10,159,15,9,2
0,0,0,1,0,0,9,17,63,1022,11.0,1049,13,135,11,3,0
1,1,0,0,0,1,4,16,39,2844,8.5,1827,10,128,14,9,2
1,1,0,0,1,1,0,0,50,711,1.0,903,10,91,9,5,0
1,1,1,1,0,1,3,7,53,3117,1.5,1987,8,181,18,5,3
1,1,1,0,1,0,0,2,49,978,9.6,1154,7,181,5,3,0
1,1,1,0,0,1,5,9,17,1869,4.5,1336,16,194,13,1,1
1,1,1,0,0,0,0,1,24,1179,1.5,1886,20,112,16,7,1
0,0,0,0,0,1,4,6,51,3844,5.5,1551,4,88,11,8,3
1,1,1,1,1,0,6,19,29,593,8.0,850,10,133,19,17,0
1,1,1,0,0,1,5,10,40,588,1.0,660,18,111,6,5,0
0,0,0,1,1,0,8,12,13,3836,8.4,1225,11,116,12,11,3
1,1,0,1,1,0,1,11,25,2669,3.0,1452,13,123,12,10,2
0,0,0,1,1,0,3,4,38,2958,11.2,1686,2,166,14,11,3
1,1,1,1,0,1,1,5,17,3031,2.8,1634,6,200,11,6,3
1,1,1,1,1,1,18,19,49,3388,2.4,1708,16,109,6,4,3
0,0,0,1,1,1,0,1,31,2377,23.2,1151,13,128,18,8,2
